,headline,cities,accented_city,latitude,longitude,countrycode,pop,cluster
0,Zika Outbreak Hits Miami,Miami,Miami,25.77427,-80.19366,US,441003.0,0
1,Could Zika Reach New York City?,New York City,New York City,40.71427,-74.00596999999999,US,8175133.0,0
2,First Case of Zika in Miami Beach,Miami Beach,Miami Beach,25.79065,-80.13005,US,92312.0,0
3,"Mystery Virus Spreads in Recife, Brazil",Recife,Recife,-8.053889999999999,-34.88111,BR,1478098.0,2
4,Dallas man comes down with case of Zika,Dallas,Dallas,32.78306,-96.80667,US,1300092.0,0
5,Trinidad confirms first Zika case,Trinidad,Trinidad,-14.833329999999998,-64.9,BO,84259.0,0
6,Zika Concerns are Spreading in Houston,Houston,Houston,29.763279999999998,-95.36327,US,2296224.0,0
7,Geneve Scientists Battle to Find Cure,Geneve,Genève,46.202220000000004,6.14569,CH,183981.0,2
8,The CDC in Atlanta is Growing Worried,Atlanta,Atlanta,33.749,-84.38798,US,463878.0,0
9,Zika Infested Monkeys in Sao Paulo,Sao Paulo,São Paulo,-23.5475,-46.636109999999995,BR,10021295.0,0
10,Brownsville teen contracts Zika virus,Brownsville,Brownsville,25.90175,-97.49748000000001,US,183887.0,0
11,Mosquito control efforts in St. Louis take new tactics with Zika threat,St. Louis,St. Louis,38.62727,-90.19789,US,315685.0,0
12,San Juan reports 1st U.S. Zika-related death amid outbreak,San Juan,San Juan,-31.5375,-68.53639,AR,447048.0,0
13,"Flu outbreak in Galveston, Texas",Galveston,Galveston,29.30135,-94.7977,US,50180.0,0
14,Zika alert - Manila now threatened,Manila,Manila,14.6042,120.9822,PH,1600000.0,1
15,Zika afflicts 7 in Iloilo City,Iloilo,Iloilo,10.69694,122.56443999999999,PH,387681.0,1
16,New Los Angeles Hairstyle goes Viral,Los Angeles,Los Angeles,34.05223,-118.24368,US,3971883.0,0
18,Orlando volunteers aid Zika research,Orlando,Orlando,28.53834,-81.37924,US,270934.0,0
20,Chicago's First Zika Case Confirmed,Chicago,Chicago,41.85003,-87.65005,US,2720546.0,0
21,Tampa Bay Area Zika Case Count Climbs,Tampa,Tampa,27.94752,-82.45843,US,369075.0,0
22,"Bad Water Leads to Sickness in Flint, Michigan",Flint,Flint,43.01253,-83.68746,US,98310.0,0
23,Baltimore plans for Zika virus,Baltimore,Baltimore,39.29038,-76.61219,US,621849.0,0
24,London Health Unit Tracks Mad Cow Disease,London,London,51.50853,-0.12574000000000002,GB,7556900.0,2
25,Zika cases in Vietnam's Ho Chi Minh City surge,Ho Chi Minh City,Ho Chi Minh City,10.82302,106.62965,VN,3467331.0,1
26,Philadelphia experts track pandemic,Philadelphia,Philadelphia,39.952329999999996,-75.16379,US,1567442.0,0
27,Flu season hits Boston,Boston,Boston,42.35843,-71.05977,US,667137.0,0
28,Scientists in Paris to look for answers,Paris,Paris,48.85341,2.3488,FR,2138551.0,2
29,Key Zika Findings in San Diego Institute,San Diego,San Diego,32.715709999999994,-117.16471999999999,US,1394928.0,0
30,Thailand-Zika Virus in Bangkok,Bangkok,Bangkok,13.753979999999999,100.50144,TH,5104476.0,1
31,Beijing team cracks Zika secret,Beijing,Beijing,39.9075,116.39723000000001,CN,11716620.0,1
32,Zika spreading to Salvador,Salvador,Salvador,-12.971110000000001,-38.51083,BR,2711840.0,2
33,Kuala Lumpur is Hit By Zika Threat,Kuala Lumpur,Kuala Lumpur,3.1412,101.68653,MY,1453975.0,1
34,First Zika case confirmed in Yangon,Yangon,Yangon,16.80528,96.15611,MM,4477638.0,1
35,Tallahassee Doctors Discuss Zika Virus,Tallahassee,Tallahassee,30.438259999999996,-84.28073,US,189907.0,0
36,Zika Virus Reaches San Francisco,San Francisco,San Francisco,37.77493,-122.41942,US,864816.0,0
37,New Vaccine on Trial in Bethesda District,Bethesda,Bethesda,38.98067,-77.10025999999999,US,60858.0,0
38,Townsville Zika tests inconclusive,Townsville,Townsville,-19.266389999999998,146.80569,AU,196219.0,1
39,Mandaluyong City under Siege by Virus,Mandaluyong City,Mandaluyong City,14.5832,121.0409,PH,305576.0,1
40,Hepatitis E re-emerges in Santa Rosa,Santa Rosa,Santa Rosa,14.312220000000002,121.11138999999999,PH,216650.0,1
41,Zika worries in San Salvador,San Salvador,San Salvador,13.68935,-89.18718,SV,525990.0,0
42,Zika virus reported in Cleveland,Cleveland,Cleveland,41.4995,-81.69541,US,388072.0,0
43,More Zika patients reported in Austin,Austin,Austin,30.26715,-97.74306,US,931830.0,0
44,"Zika outbreak in Piracicaba, Brazil",Piracicaba,Piracicaba,-22.725279999999998,-47.64917,BR,342209.0,0
45,Lima tries to address Zika Concerns,Lima,Lima,-12.04318,-77.02824,PE,7737002.0,0
46,More people in Toronto are infected with Hepatitis E every year,Toronto,Toronto,43.700109999999995,-79.4163,CA,2600000.0,0
47,18 new Zika Cases in Bogota,Bogota,Bogotá,4.60971,-74.08175,CO,7674366.0,0
49,Brisbane is infested with Meningitis,Brisbane,Brisbane,-27.467940000000002,153.02809,AU,2189878.0,1
50,Cholera outbreak in Dakar,Dakar,Dakar,14.6937,-17.44406,SN,2476400.0,2
51,Zika Virus Transmission Detected in Havana,Havana,Havana,23.133020000000002,-82.38304000000001,CU,2163824.0,0
52,Zika symtomps spotted in Key West,Key West,Key West,24.555239999999998,-81.78163,US,25755.0,0
53,Case of Measles Reported in Vancouver,Vancouver,Vancouver,49.24966,-123.11934,CA,600000.0,0
54,"Seattle scientists get $500,000 grant to pursue Zika vaccine New 7:50 pm",Seattle,Seattle,47.60621,-122.33207,US,684451.0,0
55,Nashville takes precautions against Zika,Nashville,Nashville,36.165890000000005,-86.78444,US,530852.0,0
56,Saint Croix under Zika threat,Saint Croix,Saint Croix,17.727510000000002,-64.74698000000001,VI,50601.0,0
57,Fort Collins Encounters Severe Symptoms of Gonorrhea,Fort Collins,Fort Collins,40.58526,-105.08442,US,161175.0,0
58,"Zika surfaces in Klang, Malaysia",Klang,Klang,3.03667,101.44333,MY,879867.0,1
59,Rumors about Meningitis spreading in Guatemala City have been refuted,Guatemala City,Guatemala City,14.640720000000002,-90.51326999999999,GT,994938.0,0
60,Madison lab developing vaccine against Zika virus [The Wisconsin State Journal],Madison,Madison,43.07305,-89.40123,US,248951.0,0
61,New Zika Case Confirmed in Sarasota County,Sarasota,Sarasota,27.33643,-82.53065,US,55118.0,0
62,Lower Hospitalization in Entebbe after Rabies Vaccine becomes Mandatory,Entebbe,Entebbe,0.05621,32.479490000000006,UG,62969.0,2
64,Second Zika Paitient in Brasilia,Brasilia,Brasília,-15.779720000000001,-47.92972,BR,2207718.0,0
65,Jacksonville man hit by Zika,Jacksonville,Jacksonville,30.332179999999997,-81.65565,US,868031.0,0
66,Schools in Shenzhen Closed Due to Malaria Outbreak,Shenzhen,Shenzhen,22.54554,114.0683,CN,10358381.0,1
67,Caracas patient dies,Caracas,Caracas,10.488010000000001,-66.87919000000001,VE,3000000.0,0
68,More Quezon City Zika Transmissions,Quezon City,Quezon City,14.6488,121.0509,PH,2761720.0,1
69,Schools in Sydney Closed Due to Respiratory Syncytial Virus Outbreak,Sydney,Sydney,-33.86785,151.20731999999998,AU,4627345.0,1
70,Mumbai's Health Minister warns of more Zika cases,Mumbai,Mumbai,19.07283,72.88261,IN,12691836.0,1
71,Pune woman diagnosed with Zika,Pune,Pune,18.51957,73.85535,IN,2935744.0,1
72,Hospitals in Hanoi fill up with Zika patients,Hanoi,Hanoi,21.0245,105.84116999999999,VN,1431270.0,1
74,Authorities are Worried about the Spread of Bronchitis in Silver Spring,Silver Spring,Silver Spring,38.99067,-77.02609,US,71452.0,0
75,Zika: Delhi for strict monitoring,Delhi,Delhi,28.65195,77.23149000000001,IN,10927986.0,1
77,Belize City under threat from Zika,Belize City,Belize City,17.49952,-88.19756,BZ,61461.0,0
78,"Student sick in Campinas, Brazil",Campinas,Campinas,-22.90556,-47.060829999999996,BR,1031554.0,0
79,More Zika cases in Soyapango,Soyapango,Soyapango,13.710239999999999,-89.13989000000001,SV,329708.0,0
80,Authorities are Worried about the Spread of Mad Cow Disease in Rome,Rome,Rome,41.89193,12.511330000000001,IT,2318895.0,2
81,Seoul confirms 14th Zika infection,Seoul,Seoul,37.566,126.9784,KR,10349312.0,1
82,Hepatitis B Vaccine is now Required in Quebec,Quebec,Québec,46.81228,-71.21454,CA,528595.0,0
83,Zika outbreak spreads to Mexico City,Mexico City,Mexico City,19.42847,-99.12765999999999,MX,12294193.0,0
84,Rochester authorities confirmed the spread of Dengue,Rochester,Rochester,43.15478,-77.61556,US,209802.0,0
85,El Paso fighting Zika,El Paso,El Paso,31.75872,-106.48693,US,681124.0,0
86,Visitor to Cucuta contracts Zika,Cucuta,Cúcuta,7.893910000000001,-72.50782,CO,721398.0,0
87,Zika now spreading through Jakarta,Jakarta,Jakarta,-6.21462,106.84513000000001,ID,8540121.0,1
89,Salt Lake City tests new cure for Respiratory Syncytial Virus,Salt Lake City,Salt Lake City,40.76078,-111.89105,US,192672.0,0
90,Zika San Antonio Patient Speaks Out,San Antonio,San Antonio,29.424120000000002,-98.49363000000001,US,1469845.0,0
91,Ebola outbreak in Kampala,Kampala,Kampala,0.31628,32.582190000000004,UG,1353189.0,2
92,Precautionary Zika measures in Rockhampton,Rockhampton,Rockhampton,-23.38032,150.50595,AU,61724.0,1
93,Zika arrives in Tegucigalpa,Tegucigalpa,Tegucigalpa,14.0818,-87.20681,HN,850848.0,0
94,New Zika Case Confirmed in Belo Horizonte,Belo Horizonte,Belo Horizonte,-19.92083,-43.93778,BR,2373224.0,0
95,Case of Hepatitis E Reported in Melbourne,Melbourne,Melbourne,-37.814,144.96331999999998,AU,4246375.0,1
96,First Columbus Zika case,Columbus,Columbus,39.96118,-82.99879,US,850106.0,0
97,New medicine wipes out Tuberculosis in Taipei,Taipei,Taipei,25.04776,121.53185,TW,7871900.0,1
98,"Zika Patient in Seminole, Florida",Seminole,Seminole,27.83975,-82.79120999999999,US,18153.0,0
99,Antipolo under threat from Zika Virus,Antipolo,Antipolo,14.625779999999999,121.12251,PH,549543.0,1
100,Spreading Zika reaches Bacoor,Bacoor,Bacoor,14.458960000000001,120.93851000000001,PH,356974.0,1
101,Can Zika make it here to Vero Beach?,Can,Çan,40.03328,27.052359999999997,TR,26201.0,2
102,Zika afflicts patient in Calamba,Calamba,Calamba,14.211670000000002,121.16528000000001,PH,316612.0,1
103,Hollywood Outbreak Film Premieres,Hollywood,Hollywood,34.09834,-118.32673999999999,US,167664.0,0
104,Petaling Jaya man ill from Zika,Petaling Jaya,Petaling Jaya,3.1072599999999997,101.60670999999999,MY,520698.0,1
105,Malaria is Spreading in Johannesburg,Johannesburg,Johannesburg,-26.202270000000002,28.04363,ZA,2026469.0,2
106,Authorities are Worried about the Spread of Norovirus in Buenos Aires,Buenos Aires,Buenos Aires,-34.61315,-58.377230000000004,AR,13076300.0,0
107,Guangzhou Patient in Critical Condition after Contracting Swine Flu,Guangzhou,Guangzhou,23.116670000000003,113.25,CN,11071424.0,1
108,Doral hit by Deadly Virus,Doral,Doral,25.81954,-80.35533000000001,US,56035.0,0
109,Tokyo Encounters Severe Symptoms of Meningitis,Tokyo,Tokyo,35.6895,139.69171,JP,8336599.0,1
110,Rabies Exposure in Hamilton,Hamilton,Hamilton,43.25011,-79.84963,CA,519949.0,0
111,Authorities are Worried about the Spread of Influenza in Savannah,Savannah,Savannah,32.08354,-81.09983000000001,US,145674.0,0
112,Zika Outbreak in Hyderabad,Hyderabad,Hyderabad,17.38405,78.45636,IN,3597816.0,1
113,Birmingham Residents Recieve Rabies vaccine,Birmingham,Birmingham,52.48141999999999,-1.89983,GB,984333.0,2
114,Is Zika virus in Majuro?,Majuro,Majuro,7.08971,171.38027,MH,25400.0,1
115,Spreading Zika ruining Cancun fun,Cancun,Cancún,21.17429,-86.84656,MX,628306.0,0
116,Cancun hit by Outbreak of Party Fever!,Cancun,Cancún,21.17429,-86.84656,MX,628306.0,0
117,HIV has Arrived in Fairfax,Fairfax,Fairfax,38.84622,-77.30637,US,24013.0,0
118,Spanish Flu Outbreak in Barcelona,Barcelona,Barcelona,41.38879,2.15899,ES,1621537.0,2
119,Santa Barbara tests new cure for Hepatitis C,Santa Barbara,Santa Barbara,34.42083,-119.69819,US,91842.0,0
120,Spring break ruined by Zika in Fort Lauderdale,Spring,Spring,30.07994,-95.41716,US,54298.0,0
121,Villavicencio under Zika threat,Villavicencio,Villavicencio,4.1419999999999995,-73.62664000000001,CO,321717.0,0
122,Two more Zika cases confirmed in Laredo,Laredo,Laredo,27.50641,-99.50754,US,255473.0,0
123,New Delhi Addressing Zika Concerns,New Delhi,New Delhi,28.635759999999998,77.22445,IN,317797.0,1
